The Castle,"{""type"":""Point"",""coordinates"":[-0.293012748868691,51.389686196868]}"
The Angel,"{""type"":""Point"",""coordinates"":[-0.296608974445606,51.3927336736252]}"
Brave New World,"{""type"":""Point"",""coordinates"":[-0.29560977835508,51.3930893843315]}"
The Broadway Cafe,"{""type"":""Point"",""coordinates"":[-0.281969220091839,51.38060046676]}"
Woodies,"{""type"":""Point"",""coordinates"":[-0.267313924883656,51.3920655735076]}"
Rubicon Bar,"{""type"":""Point"",""coordinates"":[-0.307433134630076,51.3953859107421]}"
The Grove Tavern,"{""type"":""Point"",""coordinates"":[-0.3063332373962,51.3965777923243]}"
Waggon and Horses,"{""type"":""Point"",""coordinates"":[-0.302181403816057,51.3992801910094]}"
The Druids Head,"{""type"":""Point"",""coordinates"":[-0.30644750310034,51.4093121997089]}"
O'Neills,"{""type"":""Point"",""coordinates"":[-0.305589432340949,51.4092087633262]}"
Wheelwrights Arms,"{""type"":""Point"",""coordinates"":[-0.301695235584291,51.4106073759915]}"
The Kings Tun,"{""type"":""Point"",""coordinates"":[-0.300692086906515,51.4113297787334]}"
The Bull & Bush,"{""type"":""Point"",""coordinates"":[-0.289639934302936,51.4081708004508]}"
Norbiton And Dragon,"{""type"":""Point"",""coordinates"":[-0.289023240860387,51.4136967681951]}"
The Kingston Gate,"{""type"":""Point"",""coordinates"":[-0.287266225996178,51.4135916048822]}"
The Prince of Wales,"{""type"":""Point"",""coordinates"":[-0.275520753656315,51.4038924009434]}"
The Wellington,"{""type"":""Point"",""coordinates"":[-0.27097644612854,51.4025695744147]}"
The Bell Inn,"{""type"":""Point"",""coordinates"":[-0.222488890521376,51.3559215066089]}"
The Railway,"{""type"":""Point"",""coordinates"":[-0.216230148273859,51.3562255009387]}"
The Harrow,"{""type"":""Point"",""coordinates"":[-0.215750447912139,51.3576313993899]}"
The Prince of Wales,"{""type"":""Point"",""coordinates"":[-0.217642928721194,51.3607035036526]}"
The Gander,"{""type"":""Point"",""coordinates"":[-0.208953884304019,51.3715155123473]}"
The Old Bank,"{""type"":""Point"",""coordinates"":[-0.191346814903748,51.3599155137194]}"
The Cock & Bull,"{""type"":""Point"",""coordinates"":[-0.191626550283223,51.360610502699]}"
O'Neills,"{""type"":""Point"",""coordinates"":[-0.192244681030225,51.3610394946682]}"
Robin Hood,"{""type"":""Point"",""coordinates"":[-0.196709487655356,51.3638083818634]}"
The Treasury,"{""type"":""Point"",""coordinates"":[-0.192458390236318,51.3616796657196]}"
The Moon on the Hill,"{""type"":""Point"",""coordinates"":[-0.193292206483037,51.3618834999583]}"
Grapes,"{""type"":""Point"",""coordinates"":[-0.194063230491397,51.3659495622818]}"
Sutton Arms,"{""type"":""Point"",""coordinates"":[-0.192107148960227,51.3617033922063]}"
The Crown,"{""type"":""Point"",""coordinates"":[-0.195377196257479,51.3681858716773]}"
